MedicName,Dose 
Acetazolamide,"Carbonic anhydrase inhibitor, diuretic
*********************************
Diuretic (PO, IV)
            Child: 5 mg/kg/dose once daily or every other day
            Adult: 250–375 mg/dose once daily or every other day

Hydrocephalus:
            Start with 20 mg/kg/24 hr ÷ Q8 hr PO/IV; may increase to 100 mg/kg/24 hr up to a max. dose of 2 g/24 hr.

Pseudotumor cerebri : 
         Child: Start with 25 mg/kg/24 hr ÷ once daily–QID; increase by 25 mg/kg/24 hr until clinical response or as tolerated up to a maximum of 100 mg/kg/24 hr.

          Adolescent: Start with 1 g/24 hr ÷ once daily–QID; increase by 250 mg/24 hr until clinical response or as tolerated up to a maximum of 4 g/24 hr.


Contraindicated in hepatic failure, severe renal failure (GFR <10 mL/min), and hypersensitivity to sulfonamides.
T1/2: 2–6 hr; do not use sustained release capsules in seizures; IM injection may be painful; bicarbonate replacement therapy may be required during long-term use (see Citrate or Sodium Bicarbonate).

Possible side effects (more likely with long-term therapy) include GI irritation, paresthesias, sedation, hypokalemia, acidosis, reduced urate secretion, aplastic anemia, polyuria, and development of renal calculi.

May increase toxicity of carbamazepine, and cyclosporine. Aspirin may increase toxicity of acetazolamide.
May decrease the effects of salicylates, lithium and phenobarbital. False-positive urinary protein may occur with several assays."
Acetylcysteine,"Mucolytic, antidote for acetaminophen toxicity
*****************************************

Acetaminophen poisoning :
    PO: 140 mg/kg (max. 15 g/dose) × 1, followed by 70 mg/kg/dose (max. 7.5 g/dose) Q4 hr for a total of 17 doses. Repeat dose if vomiting occurs with 1 hr of administration.
    IV: 150 mg/kg (max. 15 g/dose) × 1 diluted in D5W or D5W ½ NS administered over 60 min, followed by 50 mg/kg (max. 5 g/dose) diluted in D5W administered over 4 hr, then 100 mg/kg (max. 10 g/ dose) diluted in D5W administered over 16 hr. Recommended weight-based

Solution for inhalation or oral use:
       100 mg/mL (10%) (4, 10, 30 mL) or 200 mg/mL (20%) (4, 10, 30 mL); may contain EDTA

Injectable (Acetadote and generics): 
     200 mg/mL (20%) (30 mL); may contain EDTA 0.5 mg/mL Preservative-free versions of the inhalation and oral solutions and injectable forms exist.

Nebulizer:
     Infant: 1–2 mL of 20% solution (diluted with equal volume of H2O, or sterile saline to equal 10%), or 2–4 mL of 10% solution; administered TID-QID
    Child: 3–5 mL of 20% solution (diluted with equal volume of H2O, or sterile saline to equal 10%), or 6–10 mL of 10% solution; administer TID-QID.
    Adolescent: 5–10 mL of 10% or 20% solution; administer TID-QID

Distal intestinal obstruction syndrome in cystic fibrosis:
   Adolescent and adult: 10 mL of 20% solution (diluted in a sweet drink) PO QID with 100 mL of 10%
   solution PR as an enema once daily-QID

Use with caution in asthma. For nebulized use, give inhaled bronchodilator 10–15 min before use and follow with postural drainage and/or suctioning after acetylcysteine administration.
Prior hydration is essential for distal intestinal obstruction syndrome treatment.
May induce bronchospasm, stomatitis, drowsiness, rhinorrhea, nausea, vomiting, and hemoptysis.
Serious hypersensitivity reactions have been reported with IV use in children. Be aware of potential fluid overload resulting in hyponatremia with IV volume dilution; reduce diluent volume if needed.

For IV use, elimination T1/2 is longer in newborns (11 hr) than in adults (5.6 hr). T1/2 is increased by 80% in patients with severe liver damage (Child-Pugh score of 7–13) and biliary cirrhosis (Child-Pugh score of 5–7).

For oral administration, chilling the solution and mixing with carbonated beverages, orange juice, or"
Acyclovir,"Antiviral
*******
IMMUNOCOMPETENT:
     Neonatal (HSV and HSV encephalitis; birth–3 mo):
             Initial IV therapy (duration of therapy: 14 days for cutaneous/mucous membrane infection or 21 days for CNS/disseminated infection):
                        <34 wk postmenstrual age: 40 mg/kg/24 hr ÷ Q12 hr IV
                         ≥34 wk postmenstrual age: 60 mg/kg/24 hr ÷ Q8 hr IV

Oral therapy for HSV suppression and neurodevelopment following treatment with IV acyclovir for 14–21 days: 300 mg/m2/dose Q8 hr PO × 6 mo

HSV encephalitis (duration of therapy: 14–21 days):
             Birth–3 mo: use aforementioned IV dosage
             3 mo–12 yr: 30–45 mg/kg/24 hr ÷ Q8 hr IV
             ≥12 yr: 30 mg/kg/24 hr ÷ Q8 hr IV

Mucocutaneous HSV (including genital, ≥12 yr):
         Initial infection:
                         IV: 15 mg/kg/24 hr or 750 mg/m2/24 hr ÷ Q8 hr × 5–7 days
                         PO: 1000–1200 mg/24 hr ÷ 3–5 doses per 24 hr × 7–10 days. For pediatric dosing, use 40–80 mg/kg/24 hr ÷ Q6–8 hr × 5–10 days (max. pediatric dose: 1000 mg/24 hr)
         Recurrence (≥12 yr):
                        PO: 1000 mg/24 hr ÷ 5 doses per 24 hr × 5 days, or 1600 mg/24 hr ÷ Q12 hr × 5 days, or 2400 mg/24 hr ÷ Q8 hr × 2 days

Chronic suppressive therapy (≥12 yr):
                 PO: 800 mg/24 hr ÷ Q12 hr for up to 1 yr

Zoster:
             IV (all ages): 30 mg/kg/24 hr or 1500 mg/m2/24 hr ÷ Q8 hr × 7–10 days
             PO (≥12 yr): 4000 mg/24 hr ÷ 5×/24 hr × 5–7 days

Varicella:
           IV (≥2 yr): 30 mg/kg/24 hr or 1500 mg/m2/24 hr ÷ Q8 hr × 7–10 days
           PO (≥2 yr): 80 mg/kg/24 hr ÷ QID × 5 days (begin treatment at earliest signs/symptoms); max. dose: 3200 mg/24 hr
           Max. dose of oral acyclovir in children = 80 mg/kg/24 hr.


IMMUNOCOMPROMISED:
   HSV:
              IV (all ages): 750–1500 mg/m2/24 hr ÷ Q8 hr × 7–14 days
              PO (≥2 yr): 1000 mg/24 hr ÷ 3–5 times/24 hr × 7–14 days; max. dose for child: 80 mg/kg/24 hr
  HSV prophylaxis:
           IV (all ages): 750 mg/m2/24 hr ÷ Q8 hr during risk period
           PO (≥2 yr): 600–1000 mg/24 hr ÷ 3–5 times/24 hr during risk period; max. dose for child: 80 mg/kg/24 hr

  Varicella or zoster:
          IV (all ages): 1500 mg/m2/24 hr ÷ Q8 hr × 7–10 days
           PO (consider using valacyclovir or famciclovir for better absorption):
                  Infant and child: 20 mg/kg/dose (max. 800 mg) Q6 hr × 7–10 days
                  Adolescent and adult: 20 mg/kg/dose (max. 800 mg) 5 times daily × 7–10 days Max. dose of oral acyclovir in children = 80 mg/kg/24 hr.

TOPICAL:
Cream (see remarks):
Herpes labialis (≥12 and adult): Apply to affected areas 5 times a day × 4 days

Ointment:
Immunocompromised genital or mucocutaneous HSV: Apply 0.5-inch ribbon of 5% ointment for 4-inch square surface area 6 times a day × 7 days.

OPHTHALMIC:
Herpes simplex keratitis (≥2 yr and adolescent): Apply 1 cm (½-inch) ribbon onto the lower eyelid of affected eye(s) 5 times a day while awake (∼Q3 hr) until corneal ulcer heals then reduce dosage to TID for 7 days.



Use with caution in patients with preexisting neurologic or renal impairment  or dehydration. Adequate hydration and slow (1 hr) IV administration are essential to prevent
crystallization in renal tubules. 
Do not use topical product on the eye or for the prevention of recurrent HSV infections. 
Oral absorption is unpredictable (15%–30%); consider using valacyclovir or famciclovir for better absorption. 
Use ideal body weight for obese patients when calculating dosages. 
Resistant strains of HSV and VZV have been reported in immunocompromised patients (e.g., advanced HIV infection).
Inflammation or phlebitis at the injection site and transient elevations of sCr and BUN are the most frequent IV use side effects. Can cause renal impairment and has been associated with headache, vertigo,
insomnia, encephalopathy, GI tract irritation, elevated liver function tests, rash, urticaria, arthralgia, fever, and adverse hematologic effects. Probenecid decreases acyclovir renal clearance.
Acyclovir may increase the concentration of tenofovir, and meperidine and its metabolite (normeperidine).
Topical cream acyclovir 5% in combination with hydrocortisone 1% (Xerese) is indicated for herpes labialis (≥6 yr and adults) at a dosage of 5 applications per day for 5 days. Use a finger cot or
rubber glove when applying topical cream or ointment.
Ophthalmic ointment: patient should close his or her eyes for 1–2 min after each application and wipe away any excess ointment. Most common side effects include stinging, punctuate keratitis,
and follicular conjunctivitis. Blepharitis and hypersensitivity reactions have been reported"
Adapalene ± Benzoyl Peroxide,"Synthetic retinoic acid derivative; topical acne product
************************************************
Adapalene (≥12 yr and adult): Apply a thin film of cream, gel or lotion to affected areas of cleansed and dried skin QHS
Adapalene and benzoyl peroxide: Apply a thin film to affected areas of cleansed and dried skin once daily

Epiduo: Indicated for children ≥9 yr and adults with limited data in children 7–<9 yr
Epiduo Forte: Indicated for children ≥12 yr and adults.

Avoid contact with eyes, mucous membranes, abraded skin and open wounds; excessive sun exposure; and use of other irritating topical products. A mild transitory warm or stinging
sensation of the skin may occur during the first 4 wk of use. Clean and dry the skin before each use.

ADAPALENE: Onset of therapeutic benefits seen in 8–12 wk. Common side effects include dry skin, erythema, and scaly skin. When compared with tretinoin in clinical trials for acne vulgaris, adapalene
was as effective and had a more rapid onset of clinical effects with less skin irritation.

ADAPALENE + BENZOYL PEROXIDE: Onset of therapeutic benefits seen in 4–8 wk. Side effects reported in placebo-controlled studies include dry skin, erythema, skin irritation, and contact
dermatitis. When compared with isotretinoin in a clinical trial for nodulocystic acne, adapalene + benzoyl peroxide plus doxycycline was not inferior to isotretinoin and was less effective in reducing
the number of total lesions (nodules, papules/pustules, and comedones)."
Adenosine ,"Antiarrhythmic
*************
Supraventricular tachycardia (see remarks):
        Neonate: 0.05–0.1 mg/kg by rapid IV push over 1–2 sec; may increase dose by 0.05–0.1 mg/kg increments every 2 min to a max single dose of 0.3 mg/kg or until termination of SVT.
        Child: 0.1 mg/kg (initial max. dose: 6 mg) by rapid IV/IO push over 1–2 sec; may repeat in 2 min at 0.2 mg/kg IV/IO, then 0.3 mg/kg IV/IO after 2 min (all subsequent max. single doses: 12 mg), or until termination of SVT.

Adolescent and adult≥ 50 kg: 6 mg rapid IV push over 1–2 sec; if no response after 1–2 min, give 12 mg rapid IV push. May repeat a second 12 mg dose after 1–2 min if required. Max. single dose: 12 mg.

Contraindicated in 2nd and 3rd degree AV block or sick-sinus syndrome unless pacemaker placed. Use with caution in combination with digoxin (enhanced depressant effects on SA and AV nodes). If necessary, doses may be administered IO.
Follow each dose with NS flush. T1/2: <10 sec.

May precipitate bronchoconstriction, especially in asthmatics. Side effects include transient asystole, facial flushing, headache, shortness of breath, dyspnea, nausea, chest pain, and lightheadedness. Carbamazepine and dipyridamole may increase the effects/toxicity of adenosine. Methylxanthines (e.g., caffeine and theophylline) may decrease the effects of adenosine."
Albendazole,"Anthelmintic
************
Chronic Strongyloides infection
     ▶ BY MOUTH
        ▶ Child 2–17 years: 400 mg twice daily for 3 days, dose may be repeated after 3 weeks if necessary Hydatid disease, in conjunction with surgery to reduce the risk of recurrence or as primary treatment in inoperable cases
    ▶ BY MOUTH
         ▶ Child 2–17 years: 7.5 mg/kg twice daily (max. per dose
            400 mg twice daily) for 28 days followed by 14-day break, repeated for up to 2–3 cycles Hookworm infections
  ▶ BY MOUTH
         ▶ Child 2–17 years: 400 mg for 1 dose"
Albumin,"Blood product derivative, plasma volume expander
*********************************************
Hypoalbuminemia:
          Child: 0.5–1 g/kg/dose IV over 30–120 min; repeat Q1–2 days PRN
          Adult: 25 g/dose IV over 30–120 min; repeat Q1–2 days PRN Max. dose: 2 g/kg/24 hr

Hypovolemia:
         Child: 0.5–1 g/kg/dose IV rapid infusion; may repeat PRN; max. dose: 6 g/kg/24 hr
         Adult: 12.5–25 g/dose IV rapid infusion; may repeat PRN; max. dose: 250 g/48 hr

Contraindicated in cases of CHF or severe anemia; rapid infusion may cause fluid overload; hypersensitivity reactions may occur; may cause rapid increase in serum sodium levels.
Caution: 25% concentration is considered contraindicated in preterm infants due to risk of IVH. Use product specific recommended in-line filter size. Both 5% and 25% products are isotonic but differ
in oncotic effects. Dilutions of the 25% product should be made with D5W or NS; avoid sterile water as a diluent"
Allopurinol,"Uric acid lowering agent, xanthine oxidase inhibitor
*********************************************
For use in tumor lysis syndrome
    Child:
            Oral: 10 mg/kg/24 hr PO ÷ BID-QID; max. dose: 800 mg/24 hr
            Injectable: 200 mg/m2/24 hr IV ÷ Q 6–12 hr; max. dose: 600 mg/24 hr
    Adult:
           Oral: 200–800 mg/24 hr PO ÷ BID-TID
            Injectable: 200–400 mg/m2/24 hr IV ÷ Q 6–12 hr; max. dose: 600 mg/24 hr

Discontinue use at the first appearance of skin rash or other signs of an allergic reaction. 
Avoid use in individuals with HLA-B* 58:01 allele as they are at significant risk for developing severe cutaneous adverse reactions (e.g., Stevens-Johnson syndrome and TEN).
Side effects include rash, neuritis, hepatotoxicity, GI disturbance, bone marrow suppression, and drowsiness.
Adjust dose in renal insufficiency . Must maintain adequate urine output and alkaline urine.
Drug interactions: increases serum theophylline level; may increase the incidence of rash with ampicillin and amoxicillin; increased risk of toxicity with azathioprine, didanosine and mercaptopurine; and increased risk of hypersensitivity reactions with ACE inhibitors and thiazide diuretics. 
Use with didanosine is contraindicated due to increased risk for didanosine toxicity. Rhabdomyolysis has been reported with clarithromycin use.
IV dosage form is very alkaline and must be diluted to a minimum concentration of 6 mg/mL and infused over 30 min."
Almotriptan Malate,"Antimigraine agent, selective serotonin agonist
******************************************
Treatment of acute migraines with or without aura:
           Oral (Safety of an average of > 4 headaches in a 30-day period has not been established; see remarks):

Child ≥12 and adult: Start with 6.25–12.5 mg PO × 1. If needed in 2 hr, a second dose may be administered. Max. daily dose: 2 doses/24 hr and 25 mg/24 hr.

Contraindicated in ischemic/vasospastic coronary artery disease, significant underlying cardiovascular disease, cerebrovascular syndromes, peripheral vascular disease, uncontrolled hypertension, or hemiplegic/basilar migraine. Do not administer with any
ergotamine-containing medication ergot-type medication, any other 5-HT1 agonist (e.g., triptans), methylene blue, or with/within 2 wk of discontinuing an MAO inhibitor or linezolid.

FDA-labeled indication for adolescents is acute migraine treatment in patients with a history of migraine lasting ≥4 hr when left untreated. Efficacy for the treatment of migraine associated symptoms of nausea, photophobia, and phonophobia were not established for adolescents.

Most common side effects include dizziness, somnolence, headache, paresthesia, nausea, and vomiting. Reported serious adverse effects include coronary artery spasm, ischemia (myocardial, gastrointestinal, peripheral vascular), cerebral/subarachnoid hemorrhage, cerebrovascular accident/disease, and vision loss.

Use with caution in renal impairment (CrCl ≤30 mL/min) or hepatic impairment; use initial dose of 6.25 mg dose with a max. daily dose of 12.5 mg/24 hr.
Almotriptan is a minor substrate for CYP 450 2D6 and 3A4. Use lower initial single dose of 6.25 mg with maximum daily dose of 12.5 mg if receiving a potent CYP 450 3A4 inhibitor (e.g., itraconazole, ritonavir). Do not use almotriptan in the presence of renal or hepatic impairment and receiving a potent CYP 3A4 inhibitor.
Doses may be administered with or without food."
Alprostadil ,"Prostaglandin E1, vasodilator
*************************
Neonate:
            Initial: 0.05–0.1 mCg/kg/min. Advance to 0.2 mCg/kg/min if necessary.
            Maintenance: When increase in PaO2 is noted, decrease immediately to lowest effective dose. 
               Usual dosage range: 0.01–0.4 mCg/kg/min; doses >0.4 mCg/kg/min not likely to produce additional benefit.

For palliation only. Continuous vital sign monitoring essential. May cause apnea (10%–12%; especially in those weighing <2 kg at birth), fever, seizures, flushing, bradycardia, hypotension, diarrhea, gastric outlet obstruction, and reversible cortical proliferation of long bones (with prolonged use). May decrease platelet aggregation."
